locus,gene_name,chr,orientation,start,end,goi
AT3G58180,AT3G58180,3,F,21544097,21546180,False
AT3G58190,LBD29,3,R,21548484,21549558,False
AT3G58193,AT3G58193,3,F,21559060,21559139,False
AT3G58196,AT3G58196,3,F,21559244,21559320,False
AT3G58200,AT3G58200,3,R,21559893,21561465,False
AT3G58210,AT3G58210,3,R,21562442,21564067,False
AT3G58220,AT3G58220,3,R,21564450,21566482,False
AT3G58230,AT3G58230,3,R,21566860,21567396,False
AT3G58240,AT3G58240,3,R,21568530,21569827,False
AT3G58250,AT3G58250,3,R,21570745,21572143,False
AT3G58260,AT3G58260,3,R,21573754,21575369,False
AT3G58270,AT3G58270,3,R,21575887,21577845,False
AT3G58280,AT3G58280,3,R,21578512,21579767,False
AT3G58290,AT3G58290,3,R,21580572,21581861,False
AT3G58300,AT3G58300,3,R,21582764,21583390,False
AT3G58310,AT3G58310,3,R,21584038,21585030,False
AT3G58320,AT3G58320,3,R,21585567,21586328,False
AT3G58330,AT3G58330,3,R,21587362,21588002,False
AT3G58340,AT3G58340,3,R,21589071,21590401,False
AT3G58347,AT3G58347,3,R,21591188,21591388,False
AT3G58350,RTM3,3,R,21591452,21592962,False
AT3G58360,AT3G58360,3,R,21593505,21594866,False
AT3G58370,AT3G58370,3,R,21595774,21596538,False
AT3G58380,AT3G58380,3,R,21597799,21599568,False
AT3G58390,PEL2,3,R,21600030,21601217,False
AT3G58400,AT3G58400,3,R,21602667,21604063,False
AT3G58410,AT3G58410,3,R,21604871,21606229,False
AT3G58420,AT3G58420,3,R,21609307,21612409,False
AT3G58430,AT3G58430,3,R,21613163,21616183,False
AT3G58440,AT3G58440,3,R,21618446,21621249,False
AT3G58450,USP,3,F,21621997,21623166,False
AT3G58460,RBL15,3,R,21623179,21626701,False
AT3G58470,AT3G58470,3,R,21626671,21628569,False
AT3G58480,AT3G58480,3,F,21629106,21631853,False
AT3G58490,SPP1,3,F,21632812,21635106,False
AT3G58500,PP2A-4,3,R,21635226,21639105,False
AT3G58510,RH11,3,F,21639978,21643795,False
AT3G58520,AT3G58520,3,R,21643770,21645486,False
AT3G58530,AT3G58530,3,F,21645547,21648368,False
AT3G58540,AT3G58540,3,F,21648593,21649390,False
AT3G58550,LTPG22,3,R,21649364,21650287,False
AT3G58560,AtCCR4a,3,R,21650596,21654200,False
AT3G58570,RH52,3,F,21656504,21660532,False
AT3G58580,AtCCR4b,3,R,21660598,21664095,False
AT3G58590,AT3G58590,3,F,21666082,21668625,False
AT3G58600,AT3G58600,3,R,21668515,21671167,False
AT3G58610,AT3G58610,3,F,21671433,21675090,False
AT3G58620,TTL4,3,F,21680326,21683135,False
AT3G58630,AT3G58630,3,R,21683568,21685941,False
AT3G58640,AT3G58640,3,R,21686741,21693841,False
AT3G58650,TRM7,3,R,21696246,21699998,False
AT3G58660,AT3G58660,3,F,21701534,21703114,False
AT3G58670,PCO5,3,R,21703390,21706079,False
AT3G58676,AT3G58676,3,R,21706819,21706938,False
AT3G58680,MBF1B,3,F,21707276,21708911,False
AT3G58690,AT3G58690,3,F,21709170,21711381,False
AT3G58700,AT3G58700,3,F,21711563,21712955,False
AT3G58710,WRKY69,3,F,21715007,21716916,False
AT3G58720,AT3G58720,3,R,21716866,21717948,False
AT3G58730,VHA-D,3,R,21718257,21719980,False
AT3G58740,CSY1,3,R,21720773,21723790,False
AT3G58750,CSY2,3,R,21724314,21727690,False
AT3G58760,AT3G58760,3,F,21728714,21731928,False
AT3G58770,AT3G58770,3,F,21732258,21735327,False
AT3G58780,AT3G58780,3,F,21738460,21742517,False
AT3G58790,GAUT15,3,R,21742071,21746324,False
AT3G58795,AT3G58795,3,F,21745707,21746545,False
AT3G58800,AT3G58800,3,F,21748228,21749928,False
AT3G58810,MTPA2,3,F,21749966,21752008,False
AT3G58820,AT3G58820,3,F,21752533,21754615,False
AT3G58830,AT3G58830,3,R,21755053,21756641,False
AT3G58840,PMD1,3,R,21757312,21758772,False
AT3G58850,PAR2,3,R,21759352,21759942,False
AT3G58860,AT3G58860,3,R,21763742,21765306,False
AT3G58865,AT3G58865,3,F,21765879,21766823,False
AT3G58877,AT3G58877,3,R,21768188,21768367,False
AT3G58880,AT3G58880,3,R,21768485,21770167,False
AT3G58890,AT3G58890,3,F,21771046,21772577,False
AT3G58900,AT3G58900,3,F,21772813,21774743,False
AT3G58910,AT3G58910,3,R,21775306,21776079,False
AT3G58920,AT3G58920,3,F,21776293,21777988,False
AT3G58930,AT3G58930,3,R,21778210,21780433,False
AT3G58940,AT3G58940,3,R,21780785,21783663,False
AT3G58950,AT3G58950,3,R,21784116,21785840,False
AT3G58960,AT3G58960,3,R,21787146,21788807,False
AT3G58970,MGT6,3,R,21789332,21791359,False
AT3G58975,AT3G58975,3,R,21792142,21794029,False
AT3G58980,AT3G58980,3,R,21794445,21797006,False
AT3G58990,IPMI1,3,R,21797058,21798303,False
AT3G59000,AT3G59000,3,F,21799276,21801743,False
AT3G59010,PME61,3,R,21802805,21805214,False
AT3G59020,AT3G59020,3,R,21810260,21817555,False
AT3G59030,TT12,3,F,21819071,21821440,False
AT3G59040,PPR287,3,R,21821349,21824348,False
AT3G59050,PAO3,3,R,21824696,21827509,False
AT3G59052,AT3G59052,3,R,21824696,21827509,False
AT3G59060,PIL6,3,R,21827978,21830507,False
AT3G59068,AT3G59068,3,F,21832343,21832701,False
AT3G59070,AT3G59070,3,R,21832364,21834514,False
AT3G59080,AT3G59080,3,F,21836579,21838620,False
AT3G59090,Cand3,3,F,21839197,21842755,False
AT3G59100,GSL11,3,F,21843407,21853860,False
AT3G59110,AT3G59110,3,F,21854719,21858204,False
AT3G59120,AT3G59120,3,R,21857876,21860221,False
AT3G59130,AT3G59130,3,R,21860986,21862807,False
AT3G59140,ABCC10,3,R,21863420,21868701,False
AT3G59150,AT3G59150,3,F,21872706,21874735,False
AT3G59160,AT3G59160,3,F,21875023,21876641,False
AT3G59170,AT3G59170,3,F,21878167,21879799,False
AT3G59180,AT3G59180,3,F,21880719,21882459,False
AT3G59190,AT3G59190,3,F,21884527,21886776,False
AT3G59200,AT3G59200,3,F,21887172,21889344,False
AT3G59210,AT3G59210,3,F,21889571,21891915,False
AT3G59220,PRN,3,F,21894134,21895623,False
AT3G59230,AT3G59230,3,R,21896052,21897787,False
AT3G59240,AT3G59240,3,R,21898682,21900364,False
AT3G59250,AT3G59250,3,R,21901570,21903284,False
AT3G59260,AT3G59260,3,F,21903839,21905188,False
AT3G59270,AT3G59270,3,R,21906593,21907872,False
AT3G59280,TXR1,3,R,21908913,21910722,False
AT3G59290,EPS3,3,F,21911601,21917844,False
AT3G59300,AT3G59300,3,F,21918455,21922706,False
AT3G59310,AT3G59310,3,R,21921746,21924415,False
AT3G59320,AT3G59320,3,R,21924517,21926886,False
AT3G59330,AT3G59330,3,R,21926961,21928499,False
AT3G59340,AT3G59340,3,R,21928764,21931570,False
AT3G59350,MAZ,3,F,21932525,21935192,False
AT3G59360,UTR6,3,R,21935279,21940250,False
AT3G59370,AT3G59370,3,R,21941865,21942571,False
AT3G59380,FTA,3,F,21944178,21945943,False
AT3G59390,AT3G59390,3,F,21946118,21948372,False
AT3G59400,GUN4,3,R,21948717,21949710,False
AT3G59410,GCN2,3,F,21950188,21959266,False
AT3G59415,AT3G59415,3,F,21959510,21959580,False
AT3G59420,CR4,3,R,21959647,21963041,False
AT3G59430,AT3G59430,3,R,21964065,21967035,False
AT3G59440,AtCML4,3,F,21970355,21971122,False
AT3G59450,AT3G59450,3,F,21972840,21974923,False
AT3G59455,AT3G59455,3,F,21976820,21977393,False
AT3G59460,AT3G59460,3,F,21977513,21978323,False
AT3G59470,FRF1,3,R,21978847,21980753,False
AT3G59480,FRK7,3,F,21983021,21984598,False
AT3G59490,AT3G59490,3,R,21984596,21986351,False
AT3G59500,AT3G59500,3,F,21986541,21988326,False
AT3G59510,AT3G59510,3,R,21988453,21989712,False
AT3G59520,RBL13,3,F,21991826,21993263,False
AT3G59530,LAP3,3,F,21993253,21995308,False
AT3G59540,AT3G59540,3,R,21995677,21996836,False
AT3G59550,SYN3,3,F,21997054,22000678,False
AT3G59570,AT3G59570,3,R,22000832,22006056,False
AT3G59580,NLP9,3,F,22009051,22012791,False
AT3G59590,AT3G59590,3,F,22014167,22015768,False
AT3G59600,NRPB8B,3,F,22016385,22018100,False
AT3G59610,AT3G59610,3,F,22019553,22021308,False
AT3G59620,AT3G59620,3,F,22023462,22024700,False
AT3G59630,AT3G59630,3,R,22025074,22027868,False
AT3G59640,PSS1,3,F,22028774,22030445,False
AT3G59650,AT3G59650,3,F,22033129,22034157,False
AT3G59660,BAGP1,3,R,22034171,22038658,False
AT3G59670,AT3G59670,3,F,22039476,22042713,False
AT3G59680,AT3G59680,3,F,22044004,22046040,False
AT3G59690,IQD13,3,F,22048754,22051673,False
AT3G59695,AT3G59695,3,R,22049730,22051595,False
AT3G59700,LecRK-V.5,3,F,22052133,22054275,False
AT3G59710,AT3G59710,3,R,22054937,22057156,False
AT3G59720,AT3G59720,3,F,22060005,22063902,False
AT3G59730,LecRK-V.6,3,R,22064308,22065879,False
AT3G59740,LecRK-V.7,3,R,22066987,22069058,False
AT3G59750,LecRK-V.8,3,R,22069855,22071821,False
AT3G59760,OASC,3,R,22071948,22075416,False
AT3G59765,AT3G59765,3,R,22076461,22078339,False
AT3G59770,SAC9,3,R,22079033,22086149,False
AT3G59780,AT3G59780,3,F,22086478,22090444,False
AT3G59790,MPK10,3,F,22092448,22094240,False
AT3G59800,AT3G59800,3,R,22094437,22096358,False
AT3G59810,LSM6A,3,F,22096515,22097908,False
AT3G59820,LETM1,3,R,22098028,22102164,False
AT3G59830,AT3G59830,3,R,22102803,22105380,False
AT3G59840,AT3G59840,3,R,22105522,22106198,False
AT3G59845,AT3G59845,3,R,22106243,22107924,False
AT3G59850,AT3G59850,3,R,22109164,22111609,False
AT3G59860,AT3G59860,3,R,22113851,22114908,False
AT3G59870,AT3G59870,3,R,22116109,22118241,False
AT3G59880,AT3G59880,3,F,22120969,22121700,False
AT3G59884,MIR827A,3,R,22122796,22122899,False
AT3G59890,AT3G59890,3,R,22124198,22126630,False
AT3G59900,ARGOS,3,F,22129726,22130464,False
AT3G59910,AT3G59910,3,R,22130483,22133583,False
AT3G59920,GDI2,3,F,22134999,22138457,False
AT3G59923,AT3G59923,3,F,22138723,22138796,False
AT3G59926,AT3G59926,3,R,22138847,22138918,False
AT3G59930,AT3G59930,3,R,22139551,22140320,False
AT3G59940,KMD4,3,F,22142900,22144439,False
AT3G59950,ATG4B,3,R,22144280,22147691,False
AT3G59960,ASHH4,3,F,22148334,22150386,False
AT3G59970,MTHFR1,3,F,22151195,22154483,False
AT3G59980,AT3G59980,3,R,22154244,22155641,False
AT3G59990,MAP2B,3,R,22155705,22158954,False
AT3G60000,QWRF6,3,F,22160884,22162867,False
AT3G60010,SK13,3,R,22163094,22163558,False
AT3G60020,SK5,3,R,22164844,22165305,False
AT3G60030,SPL12,3,R,22165654,22169572,False
AT3G60040,AT3G60040,3,R,22175937,22179728,False
AT3G60050,AT3G60050,3,R,22180025,22181776,False
AT3G60060,AT3G60060,3,F,22182291,22183078,False
AT3G60070,AT3G60070,3,R,22183243,22186329,False
AT3G60075,AT3G60075,3,R,22186835,22186916,False
AT3G60080,BTL13,3,F,22187308,22188795,False
AT3G60090,VQ26,3,F,22190858,22191331,False
AT3G60100,AT3G60100,3,F,22192730,22196447,False
AT3G60110,AT3G60110,3,F,22197826,22201451,False
AT3G60120,BGLU27,3,F,22205947,22208952,False
AT3G60130,BGLU16,3,F,22210246,22213840,False
AT3G60140,DIN2,3,F,22216672,22220824,False
AT3G60150,AT3G60150,3,F,22222105,22223512,False
AT3G60160,ABCC9,3,R,22223803,22229204,False
AT3G60164,AT3G60164,3,R,22232023,22237075,False
AT3G60170,AT3G60170,3,F,22232512,22236531,False
AT3G60176,AT3G60176,3,R,22240155,22241164,False
AT3G60180,AT3G60180,3,R,22242504,22244061,False
AT3G60190,DL1E,3,R,22244169,22247833,False
AT3G60200,AT3G60200,3,F,22249257,22250520,False
AT3G60210,GroES,3,R,22251223,22252898,False
AT3G60220,ATL4,3,R,22254598,22256086,False
AT3G60238,AT3G60238,3,R,22259085,22259844,False
AT3G60240,EIF4G,3,F,22261650,22268455,False
AT3G60245,AT3G60245,3,F,22268746,22270006,False
AT3G60250,CKB3,3,R,22270337,22272113,False
AT3G60260,ELMOD_A,3,F,22273843,22277148,False
AT3G60270,AT3G60270,3,R,22278029,22278762,False
AT3G60280,UCC3,3,R,22279664,22280675,False
AT3G60286,AT3G60286,3,R,22281741,22282248,False
AT3G60290,AT3G60290,3,F,22282627,22284556,False
AT3G60300,AT3G60300,3,F,22285263,22287511,False
AT3G60310,AT3G60310,3,F,22287682,22291308,False
AT3G60318,AT3G60318,3,F,22291597,22291737,False
AT3G60320,NRG2,3,R,22291886,22295371,False
AT3G60328,AT3G60328,3,R,22298367,22298525,False
AT3G60330,HA7,3,F,22298373,22303673,False
AT3G60340,AT3G60340,3,F,22304152,22306512,False
AT3G60350,ARABIDILLO-2,3,R,22306488,22311186,False
AT3G60360,EDA14,3,R,22312258,22314400,False
AT3G60370,AT3G60370,3,R,22314732,22316550,False
AT3G60380,AT3G60380,3,R,22316913,22319266,False
AT3G60390,HAT3,3,R,22320595,22322586,False
AT3G60400,SHOT1,3,F,22329092,22331103,False
AT3G60410,AT3G60410,3,F,22331485,22333652,False
AT3G60420,AT3G60420,3,F,22334424,22337617,False
AT3G60440,AT3G60440,3,F,22337793,22339446,False
AT3G60450,AT3G60450,3,F,22340957,22342315,False
AT3G60460,DUO1,3,R,22342429,22343491,False
AT3G60470,AT3G60470,3,F,22344813,22347121,False
AT3G60480,AT3G60480,3,R,22347451,22348239,False
AT3G60490,ERF35,3,F,22349527,22350371,False
AT3G60500,CER7,3,F,22353883,22356625,False
AT3G60510,AT3G60510,3,R,22356952,22360147,False
AT3G60520,AT3G60520,3,R,22361530,22362579,False
AT3G60530,GATA4,3,F,22373215,22374387,False
AT3G60540,AT3G60540,3,R,22374963,22375865,False
AT3G60550,CYCP3;2,3,F,22379805,22380641,False
AT3G60560,AT3G60560,3,F,22382458,22382778,False
AT3G60565,AT3G60565,3,R,22383922,22389906,False
AT3G60570,EXPB5,3,F,22391247,22392463,False
AT3G60580,ZAT9,3,F,22393939,22395044,False
AT3G60590,AT3G60590,3,F,22398228,22399904,False
AT3G60600,VAP27-1,3,F,22400395,22402703,False
AT3G60610,AT3G60610,3,R,22403237,22405048,False
AT3G60613,AT3G60613,3,R,22405547,22405829,False
AT3G60620,CDS5,3,F,22406406,22408597,False
AT3G60630,HAM2,3,R,22410365,22412608,False
AT3G60640,ATG8G,3,F,22415835,22417158,False
AT3G60647,AT3G60647,3,F,22419351,22419548,False
AT3G60650,AT3G60650,3,F,22419951,22420274,False
AT3G60660,AT3G60660,3,F,22421410,22423477,False
AT3G60670,PLATZ10,3,R,22424512,22426288,False
AT3G60680,CHIQL9,3,F,22429960,22432042,False
AT3G60690,SAUR59,3,F,22435121,22435949,False
AT3G60700,AT3G60700,3,F,22438402,22439205,False
AT3G60710,AT3G60710,3,F,22440198,22441472,False
AT3G60720,AT3G60720,3,F,22441771,22443771,False
AT3G60730,PMEI-PME65,3,F,22444890,22447273,False
AT3G60740,TTN1,3,R,22447245,22453364,False
AT3G60750,TKL1,3,F,22453696,22457152,False
AT3G60760,AT3G60760,3,R,22458616,22459202,False
AT3G60770,AT3G60770,3,R,22460189,22461779,False
AT3G60780,AT3G60780,3,F,22462657,22463785,False
AT3G60790,AT3G60790,3,F,22464623,22466948,False
AT3G60800,PAT14,3,R,22467173,22469592,False
AT3G60805,AT3G60805,3,R,22470241,22470313,False
AT3G60810,AT3G60810,3,F,22470519,22471906,False
AT3G60820,PBF1,3,R,22471769,22473971,False
AT3G60830,ARP7,3,F,22474074,22476445,False
AT3G60840,MAP65-4,3,R,22477573,22480463,False
AT3G60850,AT3G60850,3,F,22481894,22484102,False
AT3G60860,BIG2,3,F,22484804,22491722,False
AT3G60870,AHL18,3,F,22493204,22494001,False
AT3G60880,DHDPS1,3,F,22494852,22496697,False
AT3G60890,ZPR2,3,R,22497024,22497475,False
AT3G60897,AT3G60897,3,R,22498840,22498971,False
AT3G60900,FLA10,3,R,22499360,22501239,False
AT3G60910,AT3G60910,3,F,22501698,22503372,False
AT3G60920,AT3G60920,3,R,22503328,22513031,False
AT3G60930,AT3G60930,3,F,22514027,22516871,False
AT3G60935,AT3G60935,3,R,22517150,22520275,False
AT3G60940,AT3G60940,3,R,22521446,22523700,False
AT3G60950,AT3G60950,3,F,22524475,22530306,False
AT3G60955,AT3G60955,3,R,22529643,22532476,False
AT3G60957,AT3G60957,3,F,22533783,22535556,False
AT3G60960,AT3G60960,3,F,22535706,22538635,False
AT3G60961,AT3G60961,3,F,22541319,22552529,False
AT3G60965,AT3G60965,3,R,22541491,22551393,False
AT3G60966,ATL91,3,F,22552620,22553668,False
AT3G60970,ABCC15,3,F,22557535,22561716,False
AT3G60972,AT3G60972,3,R,22561916,22562576,False
AT3G60980,AT3G60980,3,R,22565309,22566745,False
AT3G60990,AT3G60990,3,R,22569283,22569973,False
AT3G61010,AT3G61010,3,R,22571327,22575255,False
AT3G61020,AT3G61020,3,F,22575591,22577497,False
AT3G61028,AT3G61028,3,R,22581473,22584938,False
AT3G61030,AT3G61030,3,F,22585655,22590853,False
AT3G61035,AT3G61035,3,R,22592252,22593649,False
AT3G61040,CYP76C7,3,R,22593973,22596125,False
AT3G61050,NTMC2T4,3,F,22597227,22601412,False
AT3G61060,PP2-A13,3,F,22602910,22604582,False
AT3G61070,PEX11E,3,R,22604094,22606878,False
AT3G61080,AT3G61080,3,F,22607130,22609099,False
AT3G61090,AT3G61090,3,R,22609040,22609822,False
AT3G61100,AT3G61100,3,R,22610437,22611321,False
AT3G61105,AT3G61105,3,F,22611410,22611490,False
AT3G61110,RS27A,3,F,22611634,22612904,False
AT3G61111,AT3G61111,3,R,22613230,22614002,False
AT3G61113,URM12,3,R,22614582,22615415,False
AT3G61117,AT3G61117,3,R,22616430,22616558,False
AT3G61118,AT3G61118,3,R,22616581,22617427,False
AT3G61120,AGL13,3,R,22618259,22620491,False
AT3G61130,GAUT1,3,F,22621969,22625716,False
AT3G61140,FUS6,3,F,22626262,22630117,False
AT3G61150,HDG1,3,F,22630608,22635123,False
AT3G61160,SK31/ASK&#946;,3,F,22635881,22638817,False
AT3G61170,AT3G61170,3,R,22638691,22641237,False
AT3G61172,LCR8,3,R,22641764,22642110,False
AT3G61175,LCR52,3,R,22642983,22643309,False
AT3G61177,LCR53,3,R,22644470,22644791,False
AT3G61180,AT3G61180,3,F,22645566,22647667,False
AT3G61182,LCR54,3,R,22647771,22648168,False
AT3G61185,AT3G61185,3,R,22648833,22649205,False
AT3G61190,BAP1,3,R,22650159,22651488,False
AT3G61198,AT3G61198,3,R,22655884,22656599,False
AT3G61200,AT3G61200,3,R,22657455,22658390,False
AT3G61210,AT3G61210,3,R,22658678,22659870,False
AT3G61220,AT3G61220,3,F,22662953,22664493,False
AT3G61230,PLIM2c,3,R,22664425,22665597,False
AT3G61240,RH12,3,F,22666183,22669757,False
AT3G61250,MYB17,3,F,22671002,22672738,False
AT3G61260,REM1.2,3,R,22675238,22676788,False
AT3G61270,AT3G61270,3,F,22678151,22680379,False
AT3G61280,AT3G61280,3,F,22680960,22683769,False
AT3G61290,AT3G61290,3,F,22684407,22686907,False
AT3G61300,MCTP8,3,F,22687570,22690619,False
AT3G61310,AHL11,3,R,22690596,22692834,False
AT3G61320,AT3G61320,3,F,22693909,22695754,False
AT3G61330,AT3G61330,3,R,22695993,22700051,False
AT3G61340,AT3G61340,3,R,22701079,22702481,False
AT3G61350,SKIP4,3,F,22702684,22704481,False
AT3G61360,SLO3,3,R,22704304,22706138,False
AT3G61370,AT3G61370,3,F,22706312,22708509,False
AT3G61380,TRM14,3,R,22708482,22711279,False
AT3G61389,AT3G61389,3,R,22716099,22716218,False
AT3G61390,PUB36,3,F,22716353,22718373,False
AT3G61400,AT3G61400,3,F,22718956,22720397,False
AT3G61410,AT3G61410,3,F,22721006,22722673,False
AT3G61415,SK21,3,R,22722710,22726424,False
AT3G61420,AT3G61420,3,R,22727040,22731954,False
AT3G61430,PIP1A,3,F,22733309,22735335,False
AT3G61440,CYSC1,3,F,22735663,22738126,False
AT3G61450,SYP73,3,F,22738353,22740096,False
AT3G61460,BRH1,3,R,22741511,22742284,False
AT3G61470,LHCA2,3,F,22745653,22747282,False
AT3G61480,AT3G61480,3,F,22749984,22756584,False
AT3G61490,PGF9,3,F,22758063,22760340,False
AT3G61500,AT3G61500,3,R,22760541,22762388,False
AT3G61510,ACS1,3,R,22763495,22765730,False
AT3G61520,AT3G61520,3,R,22768917,22771274,False
AT3G61530,PANB2,3,R,22771442,22773790,False
AT3G61540,PAP2,3,F,22773386,22775827,False
AT3G61545,AT3G61545,3,F,22775922,22775994,False
AT3G61550,ATL68,3,F,22776401,22777225,False
AT3G61560,RTNLB6,3,F,22777829,22780191,False
AT3G61570,GDAP1,3,R,22779441,22783834,False
AT3G61571,AT3G61571,3,R,22784021,22784182,False
AT3G61580,SLD1,3,F,22786047,22787972,False
AT3G61590,AT3G61590,3,F,22791962,22794341,False
AT3G61600,POB1,3,F,22795579,22798320,False
AT3G61610,AT3G61610,3,F,22799027,22801205,False
AT3G61620,RRP41,3,R,22801221,22804104,False
AT3G61630,CRF6,3,F,22805180,22806527,False
AT3G61640,AGP20,3,R,22810041,22810747,False
AT3G61650,TUBG1,3,R,22812601,22815011,False
AT3G61660,AT3G61660,3,F,22816152,22816541,False
AT3G61670,AT3G61670,3,F,22818589,22822020,False
AT3G61678,AT3G61678,3,R,22823243,22823476,False
AT3G61680,PLIP1,3,F,22823481,22826992,False
AT3G61690,NTP8,3,F,22827884,22834048,False
AT3G61700,AT3G61700,3,F,22835207,22839089,False
AT3G61710,ATG6,3,R,22839315,22842432,False
AT3G61715,AT3G61715,3,F,22842522,22842592,False
AT3G61720,MCTP12,3,R,22843011,22845398,False
AT3G61721,AT3G61721,3,F,22845746,22846569,False
AT3G61723,AT3G61723,3,R,22846405,22846925,False
AT3G61730,RMF,3,R,22848427,22850475,False
AT3G61740,SDG14,3,R,22850837,22856972,False
AT3G61750,AT3G61750,3,R,22857897,22859254,False
AT3G61755,AT3G61755,3,F,22860127,22860199,False
AT3G61760,DL1B,3,R,22860514,22864153,False
AT3G61763,AT3G61763,3,R,22864277,22864372,False
AT3G61770,AT3G61770,3,F,22864543,22866407,False
AT3G61780,emb1703,3,R,22867814,22871462,False
AT3G61790,SINAT3,3,R,22871791,22873786,False
AT3G61800,UVSSA,3,R,22874555,22876846,False
AT3G61810,AT3G61810,3,F,22877168,22878469,False
AT3G61820,AT3G61820,3,R,22879804,22881630,False
AT3G61825,AT3G61825,3,F,22881807,22881878,False
AT3G61826,AT3G61826,3,R,22886631,22886723,False
AT3G61827,AT3G61827,3,R,22886842,22887027,False
AT3G61829,AT3G61829,3,R,22887191,22887322,False
AT3G61830,ARF18,3,F,22887889,22891435,False
AT3G61840,AT3G61840,3,F,22892466,22893269,False
AT3G61850,DAG1,3,F,22895268,22897558,False
AT3G61860,RS31,3,R,22900068,22902395,False
AT3G61870,AT3G61870,3,F,22902638,22904070,False
AT3G61880,CYP78A9,3,R,22905868,22907958,False
AT3G61890,HB-12,3,R,22914154,22915325,False
AT3G61897,MIR166B,3,F,22922210,22922321,False
AT3G61898,AT3G61898,3,F,22922550,22922940,False
AT3G61900,SAUR33,3,F,22925813,22926379,False
AT3G61910,NAC066,3,R,22929006,22930442,False
AT3G61920,AT3G61920,3,R,22932496,22933362,False
AT3G61930,AT3G61930,3,F,22935510,22936181,False
AT3G61940,MTPA1,3,F,22937170,22938574,False
AT3G61947,AT3G61947,3,R,22939271,22939387,False
AT3G61950,MYC67,3,F,22939546,22941451,False
AT3G61960,ATG1a,3,R,22941772,22945288,False
AT3G61962,AT3G61962,3,R,22947108,22947233,False
AT3G61970,NGA2,3,F,22951463,22952851,False
AT3G61980,KPI-1,3,R,22956139,22956883,False
AT3G61990,OMTF3,3,R,22957054,22958995,False
AT3G62000,AT3G62000,3,R,22959053,22961219,False
AT3G62010,AT3G62010,3,F,22964614,22971384,False
AT3G62020,GLP10,3,R,22971358,22972268,False
AT3G62030,ROC4,3,F,22973004,22975378,False
AT3G62040,AT3G62040,3,R,22975276,22976583,False
AT3G62050,AT3G62050,3,F,22978246,22979023,False
AT3G62060,PAE6,3,F,22979955,22982944,False
AT3G62070,AT3G62070,3,R,22983138,22984513,False
AT3G62080,CHMP7,3,F,22986174,22988777,False
AT3G62090,PIL2,3,R,22988547,22990709,False
AT3G62097,AT3G62097,3,R,22994271,22994381,False
AT3G62100,IAA30,3,F,22995791,22996761,False
AT3G62110,PGF10,3,R,22997031,23000041,False
AT3G62120,ProRS-Cyt,3,R,23001030,23004321,False
AT3G62130,LCD,3,F,23004931,23007006,False
AT3G62140,AT3G62140,3,F,23007083,23008749,False
AT3G62150,ABCB21,3,R,23008755,23013909,False
AT3G62160,AT3G62160,3,R,23014208,23015839,False
AT3G62170,VGDH2,3,R,23016223,23018509,False
AT3G62180,AT3G62180,3,R,23019623,23020479,False
AT3G62190,AT3G62190,3,F,23021040,23023332,False
AT3G62200,AT3G62200,3,R,23023437,23025732,False
AT3G62210,EDA32,3,R,23026609,23028306,False
AT3G62220,CARK2,3,R,23029100,23031155,False
AT3G62230,DAF1,3,F,23031531,23033128,False
AT3G62240,SRH1,3,R,23033442,23036765,False
AT3G62245,AT3G62245,3,F,23036880,23036952,False
AT3G62250,UBQ5,3,F,23037094,23037797,False
AT3G62260,PP2C49,3,R,23038290,23040584,False
AT3G62270,BOR2,3,R,23042284,23046048,False
AT3G62280,AT3G62280,3,R,23049423,23051152,False
AT3G62285,AT3G62285,3,R,23051470,23051542,False
AT3G62290,ARFA1E,3,F,23051544,23053817,False
AT3G62300,DUF7,3,F,23054004,23057188,False
AT3G62310,AT3G62310,3,R,23057245,23060731,False
AT3G62320,AT3G62320,3,R,23061805,23062398,False
AT3G62330,AT3G62330,3,R,23062819,23065721,False
AT3G62336,AT3G62336,3,R,23068160,23068363,False
AT3G62340,WRKY68,3,R,23069516,23071207,False
AT3G62350,AT3G62350,3,R,23071080,23071766,False
AT3G62360,AT3G62360,3,R,23072786,23080563,False
AT3G62370,AT3G62370,3,F,23080759,23083282,False
AT3G62380,AT3G62380,3,R,23083523,23085035,False
AT3G62390,TBL6,3,R,23087017,23089206,False
AT3G62400,AT3G62400,3,F,23089641,23090737,False
AT3G62410,CP12-2,3,F,23090944,23091566,False
AT3G62420,BZIP53,3,R,23091586,23092850,False
AT3G62422,AT3G62422,3,R,23091586,23092850,False
AT3G62430,AT3G62430,3,R,23093795,23095304,False
AT3G62440,SAF1,3,R,23096104,23097726,False
AT3G62450,AT3G62450,3,F,23098144,23098630,False
AT3G62455,AT3G62455,3,R,23100568,23104580,False
AT3G62460,AT3G62460,3,R,23104665,23105624,False
AT3G62470,AT3G62470,3,R,23106437,23108511,False
AT3G62475,AT3G62475,3,F,23109100,23110680,False
AT3G62480,AT3G62480,3,R,23111283,23111873,False
AT3G62490,AT3G62490,3,R,23112500,23114999,False
AT3G62499,AT3G62499,3,F,23119844,23120149,False
AT3G62500,AT3G62500,3,F,23120423,23122222,False
AT3G62510,AT3G62510,3,F,23123398,23123774,False
AT3G62520,AT3G62520,3,F,23125124,23127241,False
AT3G62528,AT3G62528,3,R,23131482,23131655,False
AT3G62529,AT3G62529,3,F,23131646,23131975,False
AT3G62530,APOK3,3,F,23132138,23133298,False
